TX_SGUM2.DAT                                                                    
============                                                                    
Sweetgum stem analysis data from David Lenhart        November 1992             
                                                                                
This file was rearranged by sgumrear.for using input data file                  
tx_sgum1.dat                                                                    
                                                                                
39 trees - data begins on line 27                                               
                               ==                                               
Line  Columns  Format  Description                                              
----  -------  ------  -----------                                              
 1     1- 5      A5    Plot ID                                                  
       6-10      I5    Tree number                                              
5  M    28   29    1  19.6   1.3  47.0  99.0  08/11/92  SWEETGUM                
    .0     25.0  23.6                                                           
   3.0     22.3  18.9                                                           
   6.0     18.3  17.2                                                           
   9.0     16.7  15.7                                                           
  12.0     16.4  15.0                                                           
  15.0     16.1  14.7                                                           
  18.0     15.9  15.0                                                           
  21.0     15.9  14.8                                                           
  24.0     15.7  14.5                                                           
  27.0     15.4  14.1                                                           
  30.0     15.3  14.0                                                           
  33.0     14.8  13.6                                                           
  36.0     14.7  13.2                                                           
  39.0     14.8  13.7                                                           
  42.0     14.6  13.1                                                           
  45.0     14.7  13.8                                                           
  48.0     13.4  12.6                                                           
  51.0     12.7  11.6                                                           
  54.0     13.7  12.3                                                           
  57.0     13.0  11.7                                                           
  60.0     10.9  10.3                                                           
  63.0      9.7   8.7                                                           
  66.0      8.9   8.5                                                           
  69.0      8.8   7.4                                                           
  72.0      7.4   6.7                                                           
  75.0      7.5   6.0                                                           
  78.0      4.6   4.1                                                           
  81.0      4.0   3.6                                                           
  84.0      3.8   2.5                                                           
5  M    29   19    3   8.9    .5  31.0  68.6  08/11/92  SWEETGUM                
    .0     12.3  11.3                                                           
   3.0      9.1   8.5                                                           
   6.0      8.1   7.5                                                           
   9.0      7.3   6.7                                                           
  12.0      7.1   6.6                                                           
  15.0      6.8   6.3                                                           
  18.0      6.5   6.1                                                           
  21.0      6.3   5.8                                                           
  24.0      6.1   5.7                                                           
  27.0      5.8   5.4                                                           
  30.0      5.7   5.4                                                           
  33.0      5.3   4.7                                                           
  36.0      5.0   4.4                                                           
  39.0      5.4   4.6                                                           
  42.0      4.3   3.9                                                           
  45.0      4.2   3.8                                                           
  48.0      3.5   3.3                                                           
  51.0      3.3   3.1                                                           
  54.0      2.9   2.7                                                           
5  O    30   28    1  15.5    .7  49.0  91.8  08/12/92  SWEETGUM                
    .0     19.5  19.0                                                           
   3.0     15.8  14.9                                                           
   6.0     14.6  14.0                                                           
   9.0     14.4  13.4                                                           
  12.0     13.8  13.0                                                           
  15.0     14.0  12.7                                                           
  18.0     13.3  12.5                                                           
  21.0     13.0  12.0                                                           
  24.0     12.9  12.2                                                           
  27.0     12.4  11.2                                                           
  30.0     12.3  11.4                                                           
  33.0     12.1  11.0                                                           
  36.0     11.7  10.7                                                           
  39.0     11.3  10.3                                                           
  42.0     11.3  10.3                                                           
  45.0     10.6   9.7                                                           
  48.0     10.1   9.3                                                           
  51.0      9.9   8.2                                                           
  54.0      8.6   8.0                                                           
  57.0      8.0   7.4                                                           
  60.0      7.3   6.8                                                           
  63.0      7.6   6.7                                                           
  66.0      5.9   5.4                                                           
  69.0      5.8   5.2                                                           
  72.0      4.7   4.2                                                           
  75.0      4.1   3.6                                                           
  78.0      3.7   3.2                                                           
  81.0      2.5   2.2                                                           
5  O    31   24    3  12.3    .8  49.2  75.0  08/12/92  SWEETGUM                
    .0     15.8  15.5                                                           
   3.0     12.5  11.8                                                           
   6.0     11.5  10.9                                                           
   9.0     11.3  10.2                                                           
  12.0     10.8   9.8                                                           
  15.0     10.5   9.7                                                           
  18.0     10.5   9.5                                                           
  21.0     10.1   9.2                                                           
  24.0     10.1   9.1                                                           
  27.0      9.9   8.9                                                           
  30.0      9.8   8.3                                                           
  33.0      9.3   8.4                                                           
  36.0      9.0   7.0                                                           
  39.0      8.6   7.5                                                           
  42.0      8.6   7.6                                                           
  45.0      8.3   7.6                                                           
  48.0      7.1   6.9                                                           
  51.0      6.8   6.0                                                           
  54.0      6.6   5.8                                                           
  57.0      6.3   5.7                                                           
  60.0      5.7   4.9                                                           
  63.0      5.6   5.0                                                           
  66.0      4.6   3.8                                                           
  69.0      4.4   3.9                                                           
5  O    32   27    2  15.2   1.2  54.7  86.0  08/12/92  SWEETGUM                
    .0     18.0  17.2                                                           
   3.0     15.0  14.5                                                           
   6.0     14.0  13.7                                                           
   9.0     13.9  13.3                                                           
  12.0     13.8  13.1                                                           
  15.0     13.3  12.8                                                           
  18.0     13.2  12.5                                                           
  21.0     13.1  12.3                                                           
  24.0     12.8  11.9                                                           
  27.0     12.3  11.6                                                           
  30.0     12.4  11.4                                                           
  33.0     11.9  10.9                                                           
  36.0     11.4  10.4                                                           
  39.0     11.1  10.2                                                           
  42.0     11.2  10.4                                                           
  45.0     10.5   9.4                                                           
  48.0     10.2   9.3                                                           
  51.0     10.4   9.8                                                           
  54.0      9.9   8.8                                                           
  57.0      8.9   7.7                                                           
  60.0      7.5   7.2                                                           
  63.0      7.7   7.3                                                           
  66.0      5.1   4.4                                                           
  69.0      4.7   4.0                                                           
  72.0      4.3   4.0                                                           
  75.0      3.7   3.1                                                           
  78.0      3.0   2.5                                                           
5  O    33   26    0  11.1    .7    .0  85.0  08/12/92  SWEETGUM                
    .0     14.1  13.4                                                           
   3.0     11.3  11.0                                                           
   6.0     10.3  10.0                                                           
   9.0      9.9   9.1                                                           
  12.0      9.9   9.5                                                           
  15.0      9.5   9.0                                                           
  18.0      9.4   8.7                                                           
  21.0      8.8   8.3                                                           
  24.0      8.8   8.3                                                           
  27.0      8.1   7.1                                                           
  30.0      8.3   7.6                                                           
  33.0      7.8   7.3                                                           
  36.0      7.8   7.2                                                           
  39.0      6.9   6.2                                                           
  42.0      6.7   6.5                                                           
  45.0      6.5   6.1                                                           
  48.0      6.5   6.2                                                           
  51.0      6.2   5.5                                                           
  54.0      5.9   5.4                                                           
  57.0      5.5   5.1                                                           
  60.0      5.3   4.8                                                           
  63.0      5.0   4.4                                                           
  66.0      5.6   4.7                                                           
  69.0      4.5   4.2                                                           
  72.0      3.5   3.2                                                           
  75.0      2.9   2.5                                                           
   O    34   24    3   9.0    .8    .0  80.8  08/12/92  SWEETGUM                
    .0     11.5  11.0                                                           
   3.0      9.5   9.0                                                           
   6.0      9.0   8.3                                                           
   9.0      8.7   8.3                                                           
  12.0      8.4   7.6                                                           
  15.0      8.2   7.7                                                           
  18.0      8.0   7.3                                                           
  21.0      7.9   7.0                                                           
  24.0      7.5   6.9                                                           
  27.0      7.2   6.7                                                           
  30.0      7.1   6.5                                                           
  33.0      7.0   6.2                                                           
  36.0      7.0   6.3                                                           
  39.0      6.3   5.8                                                           
  42.0      6.0   5.3                                                           
  45.0      6.1   5.5                                                           
  48.0      6.3   5.2                                                           
  51.0      5.7   5.2                                                           
  54.0      5.0   4.4                                                           
  57.0      5.4   4.8                                                           
  60.0      4.6   4.0                                                           
  63.0      4.1   3.6                                                           
  66.0      3.9   3.3                                                           
  69.0      3.3   3.1                                                           
6  Q    35   22    3   8.5    .9    .0  72.5  08/19/92  SWEETGUM                
    .0     11.4  10.3                                                           
   3.0      8.5   8.3                                                           
   6.0      7.9   7.6                                                           
   9.0      7.6   7.1                                                           
  12.0      7.2   6.8                                                           
  15.0      7.1   6.7                                                           
  18.0      7.1   6.6                                                           
  21.0      6.9   6.4                                                           
  24.0      6.5   6.1                                                           
  27.0      6.4   5.8                                                           
  30.0      6.3   5.8                                                           
  33.0      6.1   5.7                                                           
  36.0      6.0   5.5                                                           
  39.0      6.3   5.8                                                           
  42.0      5.6   5.2                                                           
  45.0      5.1   4.5                                                           
  48.0      5.0   4.4                                                           
  51.0      4.5   4.3                                                           
  54.0      4.4   4.0                                                           
  57.0      3.9   3.5                                                           
  60.0      3.4   3.1                                                           
  63.0      2.6   2.3                                                           
6  Q    36   25    3  10.8    .7    .0  86.6  08/19/92  SWEETGUM                
    .0     15.0  14.3                                                           
   3.0     11.2  10.8                                                           
   6.0      9.8   9.5                                                           
   9.0      9.5   9.1                                                           
  12.0      9.4   8.5                                                           
  15.0      9.3   8.5                                                           
  18.0      9.2   8.1                                                           
  21.0      8.9   7.9                                                           
  24.0      8.5   7.5                                                           
  27.0      8.0   7.3                                                           
  30.0      8.1   7.2                                                           
  33.0      7.8   7.0                                                           
  36.0      7.5   6.8                                                           
  39.0      7.4   6.1                                                           
  42.0      6.7   5.8                                                           
  45.0      6.4   5.8                                                           
  48.0      6.4   5.4                                                           
  51.0      6.0   5.5                                                           
  54.0      5.8   5.2                                                           
  57.0      5.5   4.8                                                           
  60.0      5.2   4.7                                                           
  63.0      4.9   4.4                                                           
  66.0      4.2   3.7                                                           
  69.0      4.1   3.6                                                           
  72.0      3.4   3.0                                                           
6  Q    37   27    2  17.6   1.1  59.8  92.3  08/19/92  SWEETGUM                
    .0     25.8  24.1                                                           
   3.0     18.4  16.9                                                           
   6.0     15.8  15.2                                                           
   9.0     14.9  13.7                                                           
  12.0     13.8  13.0                                                           
  15.0     13.8  13.0                                                           
  18.0     13.4  12.6                                                           
  21.0     13.5  12.5                                                           
  24.0     13.2  12.2                                                           
  27.0     13.2  12.3                                                           
  30.0     12.5  12.0                                                           
  33.0     12.4  11.4                                                           
  36.0     12.6  11.9                                                           
  39.0     12.2  10.8                                                           
  42.0     11.8  10.7                                                           
  45.0     11.5  10.5                                                           
  48.0     11.0   9.8                                                           
  51.0     10.5   9.5                                                           
  54.0     10.1   9.0                                                           
  57.0      9.5   8.5                                                           
  60.0      8.7   7.8                                                           
  63.0      7.0   6.5                                                           
  66.0      6.7   5.8                                                           
  69.0      5.8   5.0                                                           
  72.0      5.0   4.5                                                           
  75.0      4.6   4.0                                                           
  78.0      3.8   3.4                                                           
2  E    38   29    0  24.9   1.3  60.0  98.2  08/21/92  SWEETGUM                
    .0     30.5  29.2                                                           
   3.0     25.3  23.9                                                           
   6.0     22.6  21.3                                                           
   9.0     21.7  20.6                                                           
  12.0     22.0  20.2                                                           
  15.0     25.0  23.0                                                           
  18.0     20.9  19.3                                                           
  21.0     19.7  18.8                                                           
  24.0     19.1  18.0                                                           
  27.0     18.7  17.4                                                           
  30.0     18.5  17.2                                                           
  33.0     18.8  17.6                                                           
  36.0     19.9  18.3                                                           
  39.0     17.6  16.0                                                           
  42.0     16.2  15.0                                                           
  45.0     16.1  14.8                                                           
  48.0     16.0  15.1                                                           
  51.0     15.6  14.4                                                           
  54.0     15.9  14.4                                                           
  57.0     16.7  14.9                                                           
  60.0     14.5  12.2                                                           
  63.0     13.7  11.8                                                           
  66.0      9.3   8.6                                                           
  69.0      8.7   7.2                                                           
  72.0      7.3   7.0                                                           
  75.0      6.0   5.6                                                           
  78.0      5.0   4.6                                                           
  81.0      4.1   3.6                                                           
  84.0      3.7   3.1                                                           
2  E    39   32    1  26.7   1.4  57.0 103.0  08/21/92  SWEETGUM                
    .0     34.0  33.0                                                           
   3.0     26.3  24.8                                                           
   6.0     25.5  23.5                                                           
   9.0     24.0  22.6                                                           
  12.0     23.0  22.2                                                           
  15.0     22.7  21.3                                                           
  18.0     22.0  20.5                                                           
  21.0     22.0  20.3                                                           
  24.0     21.4  19.9                                                           
  27.0     21.7  20.0                                                           
  30.0     21.0  19.4                                                           
  33.0     20.8  19.2                                                           
  36.0     20.2  18.2                                                           
  39.0     20.0  18.5                                                           
  42.0     19.6  17.7                                                           
  45.0     19.9  17.6                                                           
  48.0     18.9  17.2                                                           
  51.0     18.9  17.1                                                           
  54.0     18.8  16.9                                                           
  57.0     22.6  20.2                                                           
  60.0     17.6  16.3                                                           
  63.0     16.8  16.0                                                           
  66.0     15.4  13.7                                                           
  69.0     15.3  12.8                                                           
  72.0     15.2  13.4                                                           
  75.0     12.8  11.2                                                           
  78.0     11.3   9.7                                                           
  81.0     10.5   9.2                                                           
  84.0      9.5   8.1                                                           
  87.0      7.3   6.5                                                           
  90.0      6.4   5.7                                                           
  93.0      4.1   3.6                                                           

